Precip,Air_Temp_Max,Air_Temp_Min,DayOfWeek,Operating_Airline,Dest,DestState,DepDelay,DepDel15,DepTimeBlk,Distance,DistanceGroup,DepDelayBinary
0.12,57,44,7,AS,SEA,WA,-15.0,0.0,2100-2159,679.0,3,0
0.0,69,53,7,UA,LAS,NV,-5.0,0.0,1900-1959,414.0,2,0
0.0,68,53,2,UA,SNA,CA,-4.0,0.0,1000-1059,372.0,2,0
0.12,57,45,5,DL,SLC,UT,-8.0,0.0,1000-1059,599.0,3,0
0.06,65,50,3,AS,LAS,NV,-5.0,0.0,1700-1759,414.0,2,0
0.1,56,44,7,UA,SEA,WA,15.0,1.0,1300-1359,679.0,3,1
0.05,60,47,7,OO,RDM,OR,-6.0,0.0,1600-1659,462.0,2,0
0.2,63,48,4,UA,PHX,AZ,-6.0,0.0,1200-1259,651.0,3,0
0.02,66,48,3,UA,ORD,IL,4.0,0.0,1000-1059,1846.0,8,1
0.13,62,48,3,UA,PSP,CA,0.0,0.0,0800-0859,421.0,2,0
0.02,65,48,4,UA,DEN,CO,-3.0,0.0,0001-0559,967.0,4,0
0.02,66,48,3,OO,BZN,MT,-2.0,0.0,1000-1059,807.0,4,0
0.13,59,46,5,OO,LAX,CA,-4.0,0.0,0600-0659,337.0,2,0
0.05,60,47,7,UA,SAN,CA,9.0,0.0,1600-1659,447.0,2,1
0.02,63,49,6,OO,SAN,CA,-7.0,0.0,1400-1459,447.0,2,0
0.12,57,44,7,B6,FLL,FL,6.0,0.0,2200-2259,2584.0,11,1
0.11,60,45,5,UA,IAH,TX,-2.0,0.0,0700-0759,1635.0,7,0
0.17,62,48,2,UA,LAX,CA,-7.0,0.0,0001-0559,337.0,2,0
0.02,68,52,6,UA,MCO,FL,6.0,0.0,2200-2259,2446.0,10,1
0.07,64,47,7,WN,LAS,NV,-5.0,0.0,0001-0559,414.0,2,0
0.09,56,44,5,UA,SAN,CA,-3.0,0.0,1900-1959,447.0,2,0
0.04,64,48,5,UA,MSY,LA,0.0,0.0,2300-2359,1911.0,8,0
0.09,62,48,4,OO,LAX,CA,-12.0,0.0,0800-0859,337.0,2,0
0.08,61,48,1,OO,EUG,OR,-2.0,0.0,1000-1059,451.0,2,0
0.0,69,51,7,AA,DFW,TX,-2.0,0.0,1300-1359,1464.0,6,0
0.13,62,48,6,UA,LIH,HI,-6.0,0.0,1000-1059,2447.0,10,0
0.02,67,51,1,WN,SAN,CA,-4.0,0.0,2100-2159,447.0,2,0
0.0,74,55,3,UA,SNA,CA,0.0,0.0,1000-1059,372.0,2,0
0.0,73,55,5,UA,LIH,HI,3.0,0.0,1600-1659,2447.0,10,1
0.0,72,55,4,DL,JFK,NY,-2.0,0.0,1200-1259,2586.0,11,0
0.0,72,55,2,OO,MFR,OR,-6.0,0.0,1600-1659,329.0,2,0
0.09,59,45,3,AA,ORD,IL,-6.0,0.0,2300-2359,1846.0,8,0
0.0,72,56,5,DL,SLC,UT,-2.0,0.0,1700-1759,599.0,3,0
0.17,60,46,6,OO,SMF,CA,-5.0,0.0,1800-1859,86.0,1,0
0.0,72,54,2,AS,SEA,WA,28.0,1.0,1500-1559,679.0,3,1
0.2,60,46,1,OO,SAN,CA,-5.0,0.0,0600-0659,447.0,2,0
0.2,56,44,6,OO,PSP,CA,-3.0,0.0,1600-1659,421.0,2,0
0.0,73,55,5,AA,ORD,IL,140.0,1.0,1300-1359,1846.0,8,1
0.06,62,47,1,AS,DCA,VA,-2.0,0.0,0800-0859,2442.0,10,0
0.0,73,54,2,AA,JFK,NY,-4.0,0.0,0600-0659,2586.0,11,0
0.1,62,48,5,B6,BOS,MA,-9.0,0.0,1100-1159,2704.0,11,0
0.0,73,56,1,AS,SEA,WA,13.0,0.0,1500-1559,679.0,3,1
0.11,58,44,1,OO,BFL,CA,-8.0,0.0,1100-1159,238.0,1,0
0.02,66,51,2,B6,BOS,MA,13.0,0.0,1100-1159,2704.0,11,1
0.11,64,48,4,OO,SMF,CA,-1.0,0.0,0800-0859,86.0,1,0
0.0,72,55,7,AS,SEA,WA,8.0,0.0,1100-1159,679.0,3,1
0.0,72,54,7,AS,ORD,IL,75.0,1.0,0800-0859,1846.0,8,1
0.0,72,56,7,DL,MSP,MN,-8.0,0.0,1600-1659,1589.0,7,0
